"","detectedstate","dateannounced","numberofcases"
"239","Maharashtra","16/03/2020",7
"240","Maharashtra","17/03/2020",2
"241","Maharashtra","18/03/2020",4
"242","Maharashtra","19/03/2020",3
"243","Maharashtra","20/03/2020",6
"244","Maharashtra","21/03/2020",10
"245","Maharashtra","22/03/2020",10
"246","Maharashtra","23/03/2020",15
"247","Maharashtra","24/03/2020",18
"248","Maharashtra","25/03/2020",15
"249","Maharashtra","26/03/2020",3
"250","Maharashtra","27/03/2020",28
"251","Maharashtra","28/03/2020",28
"252","Maharashtra","29/03/2020",22
"253","Maharashtra","30/03/2020",17
"254","Maharashtra","31/03/2020",82
"255","Manipur","02/04/2020",1
"256","Manipur","24/03/2020",1
"257","Mizoram","25/03/2020",1
"258","Odisha","01/04/2020",1
"259","Odisha","03/04/2020",15
"260","Odisha","04/04/2020",1
"261","Odisha","05/04/2020",18
"262","Odisha","06/04/2020",1
"263","Odisha","16/03/2020",1
"264","Odisha","19/03/2020",1
"265","Odisha","26/03/2020",1
"266","Odisha","31/03/2020",1
"267","Puducherry","01/04/2020",2
"268","Puducherry","02/04/2020",2
"269","Puducherry","17/03/2020",1
"270","Punjab","01/04/2020",4
"271","Punjab","02/04/2020",1
"272","Punjab","03/04/2020",6
"273","Punjab","04/04/2020",12
"274","Punjab","05/04/2020",3
"275","Punjab","06/04/2020",11
"276","Punjab","09/03/2020",1
"277","Punjab","19/03/2020",1
"278","Punjab","20/03/2020",1
"279","Punjab","21/03/2020",10
"280","Punjab","22/03/2020",8
"281","Punjab","23/03/2020",2
"282","Punjab","24/03/2020",6
"283","Punjab","25/03/2020",2
"284","Punjab","26/03/2020",2
"285","Punjab","27/03/2020",5
"286","Punjab","30/03/2020",3
"287","Punjab","31/03/2020",1
"288","Rajasthan","01/04/2020",27
"289","Rajasthan","02/04/2020",13
"290","Rajasthan","03/03/2020",1
"291","Rajasthan","03/04/2020",46
"292","Rajasthan","04/03/2020",1
"293","Rajasthan","04/04/2020",27
"294","Rajasthan","05/04/2020",60
"295","Rajasthan","06/04/2020",35
"296","Rajasthan","10/03/2020",1
"297","Rajasthan","14/03/2020",1
"298","Rajasthan","18/03/2020",3
"299","Rajasthan","19/03/2020",2
"300","Rajasthan","20/03/2020",8
"301","Rajasthan","21/03/2020",7
"302","Rajasthan","22/03/2020",5
"303","Rajasthan","23/03/2020",3
"304","Rajasthan","25/03/2020",6
"305","Rajasthan","26/03/2020",5
"306","Rajasthan","27/03/2020",7
"307","Rajasthan","28/03/2020",4
"308","Rajasthan","29/03/2020",5
"309","Rajasthan","30/03/2020",20
"310","Rajasthan","31/03/2020",14
"311","Tamil Nadu","01/04/2020",110
"312","Tamil Nadu","02/04/2020",75
"313","Tamil Nadu","03/04/2020",102
"314","Tamil Nadu","04/04/2020",74
"315","Tamil Nadu","05/04/2020",86
"316","Tamil Nadu","06/04/2020",50
"317","Tamil Nadu","07/03/2020",1
"318","Tamil Nadu","18/03/2020",1
"319","Tamil Nadu","19/03/2020",1
"320","Tamil Nadu","21/03/2020",3
"321","Tamil Nadu","22/03/2020",3
"322","Tamil Nadu","23/03/2020",3
"323","Tamil Nadu","24/03/2020",6
"324","Tamil Nadu","25/03/2020",8
"325","Tamil Nadu","26/03/2020",3
"326","Tamil Nadu","27/03/2020",9
"327","Tamil Nadu","28/03/2020",4
"328","Tamil Nadu","29/03/2020",8
"329","Tamil Nadu","30/03/2020",17
"330","Tamil Nadu","31/03/2020",57
"331","Telangana","01/04/2020",30
"332","Telangana","02/03/2020",1
"333","Telangana","02/04/2020",27
"334","Telangana","03/04/2020",75
"335","Telangana","04/04/2020",43
"336","Telangana","05/04/2020",62
"337","Telangana","06/04/2020",30
"338","Telangana","14/03/2020",1
"339","Telangana","15/03/2020",1
"340","Telangana","16/03/2020",1
"341","Telangana","17/03/2020",1
"342","Telangana","18/03/2020",8
"343","Telangana","19/03/2020",3
"344","Telangana","20/03/2020",3
"345","Telangana","21/03/2020",2
"346","Telangana","22/03/2020",6
"347","Telangana","23/03/2020",6
"348","Telangana","24/03/2020",6
"349","Telangana","25/03/2020",2
"350","Telangana","26/03/2020",4
"351","Telangana","27/03/2020",14
"352","Telangana","28/03/2020",8
"353","Telangana","29/03/2020",3
"354","Telangana","30/03/2020",7
"355","Telangana","31/03/2020",20
"356","Tripura","06/04/2020",1
"357","Uttar Pradesh","01/04/2020",13
"358","Uttar Pradesh","02/04/2020",11
"359","Uttar Pradesh","03/04/2020",46
"360","Uttar Pradesh","04/03/2020",7
"361","Uttar Pradesh","04/04/2020",60
"362","Uttar Pradesh","05/03/2020",1
"363","Uttar Pradesh","05/04/2020",44
"364","Uttar Pradesh","06/04/2020",27
"365","Uttar Pradesh","09/03/2020",2
"366","Uttar Pradesh","12/03/2020",2
"367","Uttar Pradesh","13/03/2020",1
"368","Uttar Pradesh","17/03/2020",2
"369","Uttar Pradesh","18/03/2020",2
"370","Uttar Pradesh","19/03/2020",3
"371","Uttar Pradesh","20/03/2020",4
"372","Uttar Pradesh","21/03/2020",4
"373","Uttar Pradesh","22/03/2020",2
"374","Uttar Pradesh","23/03/2020",4
"375","Uttar Pradesh","24/03/2020",1
"376","Uttar Pradesh","25/03/2020",3
"377","Uttar Pradesh","26/03/2020",4
"378","Uttar Pradesh","27/03/2020",7
"379","Uttar Pradesh","28/03/2020",16
"380","Uttar Pradesh","29/03/2020",7
"381","Uttar Pradesh","30/03/2020",24
"382","Uttar Pradesh","31/03/2020",8
"383","Uttarakhand","02/04/2020",3
"384","Uttarakhand","03/04/2020",6
"385","Uttarakhand","04/04/2020",6
"386","Uttarakhand","05/04/2020",4
"387","Uttarakhand","06/04/2020",5
"388","Uttarakhand","15/03/2020",1
"389","Uttarakhand","19/03/2020",2
"390","Uttarakhand","23/03/2020",1
"391","Uttarakhand","25/03/2020",1
"392","Uttarakhand","28/03/2020",1
"393","Uttarakhand","29/03/2020",1
"394","West Bengal","02/04/2020",16
"395","West Bengal","05/04/2020",27
"396","West Bengal","17/03/2020",1
"397","West Bengal","20/03/2020",1
"398","West Bengal","21/03/2020",2
"399","West Bengal","22/03/2020",3
"400","West Bengal","24/03/2020",2
"401","West Bengal","26/03/2020",1
"402","West Bengal","27/03/2020",5
"403","West Bengal","28/03/2020",3
"404","West Bengal","29/03/2020",3
"405","West Bengal","30/03/2020",1
"406","West Bengal","31/03/2020",15
